id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.county,children_count.subcounty,zip_codes,geo.lat,geo.lon
UG203501,3,County,County,Busia Municipality,Busia Municipality,busia-municipality-ug203501,UG203501,,UG2035,Busia,Busia,,,,2,,0.468,34.091
UG203502,3,County,County,Samia-Bugwe,Samia-Bugwe,samia-bugwe-ug203502,UG203502,,UG2035,Busia,Busia,,,,14,,0.391,34.016
UG2036,2,District,District,Butaleja,Butaleja,butaleja-ug2036,UG2036,,UG2,Eastern,Eastern,,,1,12,,0.866,33.885
UG203601,3,County,County,Bunyole,Bunyole,bunyole-ug203601,UG203601,,UG2036,Butaleja,Butaleja,,,,12,,0.866,33.885
UG2037,2,District,District,Butebo,Butebo,butebo-ug2037,UG2037,,UG2,Eastern,Eastern,,,1,6,,1.172,34.06
UG203701,3,County,County,Butebo,Butebo,butebo-ug203701,UG203701,,UG2037,Butebo,Butebo,,,,6,,1.172,34.06
UG2038,2,District,District,Buyende,Buyende,buyende-ug2038,UG2038,,UG2,Eastern,Eastern,,,1,6,,1.233,33.176
UG203801,3,County,County,Budiope,Budiope,budiope-ug203801,UG203801,,UG2038,Buyende,Buyende,,,,6,,1.233,33.176
UG2039,2,District,District,Iganga,Iganga,iganga-ug2039,UG2039,,UG2,Eastern,Eastern,,,2,10,,0.722,33.502
UG203901,3,County,County,Iganga Municipality,Iganga Municipality,iganga-municipality-ug203901,UG203901,,UG2039,Iganga,Iganga,,,,2,,0.613,33.477
UG203902,3,County,County,Kigulu,Kigulu,kigulu-ug203902,UG203902,,UG2039,Iganga,Iganga,,,,8,,0.722,33.502
UG2040,2,District,District,Jinja,Jinja,jinja-ug2040,UG2040,,UG2,Eastern,Eastern,,,3,12,,0.544,33.229
UG204001,3,County,County,Butembe,Butembe,butembe-ug204001,UG204001,,UG2040,Jinja,Jinja,,,,4,,0.554,33.295
UG204002,3,County,County,Jinja Municipality,Jinja Municipality,jinja-municipality-ug204002,UG204002,,UG2040,Jinja,Jinja,,,,3,,0.428,33.238
UG204003,3,County,County,Kagoma,Kagoma,kagoma-ug204003,UG204003,,UG2040,Jinja,Jinja,,,,5,,0.588,33.164
UG2041,2,District,District,Kaberamaido,Kaberamaido,kaberamaido-ug2041,UG2041,,UG2,Eastern,Eastern,,,1,6,,1.685,33.117
UG204101,3,County,County,Kaberamaido,Kaberamaido,kaberamaido-ug204101,UG204101,,UG2041,Kaberamaido,Kaberamaido,,,,6,,1.685,33.117
UG2042,2,District,District,Kalaki,Kalaki,kalaki-ug2042,UG2042,,UG2,Eastern,Eastern,,,1,7,,1.83,33.356
UG204201,3,County,County,Kalaki,Kalaki,kalaki-ug204201,UG204201,,UG2042,Kalaki,Kalaki,,,,7,,1.83,33.356
UG2043,2,District,District,Kaliro,Kaliro,kaliro-ug2043,UG2043,,UG2,Eastern,Eastern,,,1,12,,1.08,33.482
UG204301,3,County,County,Bulamogi,Bulamogi,bulamogi-ug204301,UG204301,,UG2043,Kaliro,Kaliro,,,,12,,1.08,33.482
UG2044,2,District,District,Kamuli,Kamuli,kamuli-ug2044,UG2044,,UG2,Eastern,Eastern,,,3,16,,0.94,33.128
UG204401,3,County,County,Bugabula,Bugabula,bugabula-ug204401,UG204401,,UG2044,Kamuli,Kamuli,,,,8,,1.003,33.077
UG204402,3,County,County,Buzaaya,Buzaaya,buzaaya-ug204402,UG204402,,UG2044,Kamuli,Kamuli,,,,6,,0.776,33.146
UG204403,3,County,County,Kamuli Municipality,Kamuli Municipality,kamuli-municipality-ug204403,UG204403,,UG2044,Kamuli,Kamuli,,,,2,,0.926,33.118
UG2045,2,District,District,Kapchorwa,Kapchorwa,kapchorwa-ug2045,UG2045,,UG2,Eastern,Eastern,,,2,14,,1.328,34.407
UG204501,3,County,County,Kapchorwa Municipality,Kapchorwa Municipality,kapchorwa-municipality-ug204501,UG204501,,UG2045,Kapchorwa,Kapchorwa,,,,3,,1.336,34.46
UG204502,3,County,County,Tingey,Tingey,tingey-ug204502,UG204502,,UG2045,Kapchorwa,Kapchorwa,,,,11,,1.29,34.446
UG2046,2,District,District,Kapelebyong,Kapelebyong,kapelebyong-ug2046,UG2046,,UG2,Eastern,Eastern,,,1,6,,2.195,33.777
UG204601,3,County,County,Kapelebyong,Kapelebyong,kapelebyong-ug204601,UG204601,,UG2046,Kapelebyong,Kapelebyong,,,,6,,2.195,33.777
UG2047,2,District,District,Katakwi,Katakwi,katakwi-ug2047,UG2047,,UG2,Eastern,Eastern,,,2,10,,1.971,34.058
UG204701,3,County,County,Katakwi,Katakwi,katakwi-ug204701,UG204701,,UG2047,Katakwi,Katakwi,,,,6,,2.035,34.058
UG204702,3,County,County,Toroma,Toroma,toroma-ug204702,UG204702,,UG2047,Katakwi,Katakwi,,,,4,,1.745,34.034
UG2048,2,District,District,Kibuku,Kibuku,kibuku-ug2048,UG2048,,UG2,Eastern,Eastern,,,1,17,,1.055,33.806
UG204801,3,County,County,Kibuku,Kibuku,kibuku-ug204801,UG204801,,UG2048,Kibuku,Kibuku,,,,17,,1.055,33.806
UG2049,2,District,District,Kumi,Kumi,kumi-ug2049,UG2049,,UG2,Eastern,Eastern,,,2,8,,1.456,33.925
UG204901,3,County,County,Kumi,Kumi,kumi-ug204901,UG204901,,UG2049,Kumi,Kumi,,,,6,,1.456,33.878
UG204902,3,County,County,Kumi Municipality,Kumi Municipality,kumi-municipality-ug204902,UG204902,,UG2049,Kumi,Kumi,,,,2,,1.483,33.94
UG2050,2,District,District,Kween,Kween,kween-ug2050,UG2050,,UG2,Eastern,Eastern,,,1,13,,1.351,34.561
UG205001,3,County,County,Kween,Kween,kween-ug205001,UG205001,,UG2050,Kween,Kween,,,,13,,1.351,34.561
UG2051,2,District,District,Luuka,Luuka,luuka-ug2051,UG2051,,UG2,Eastern,Eastern,,,1,8,,0.818,33.328
UG205101,3,County,County,Luuka,Luuka,luuka-ug205101,UG205101,,UG2051,Luuka,Luuka,,,,8,,0.818,33.328
UG2052,2,District,District,Manafwa,Manafwa,manafwa-ug2052,UG2052,,UG2,Eastern,Eastern,,,1,17,,0.883,34.27
UG205201,3,County,County,Bubulo,Bubulo,bubulo-ug205201,UG205201,,UG2052,Manafwa,Manafwa,,,,17,,0.883,34.27
UG2053,2,District,District,Mayuge,Mayuge,mayuge-ug2053,UG2053,,UG2,Eastern,Eastern,,,1,14,,-0.193,33.59
UG205301,3,County,County,Bunya,Bunya,bunya-ug205301,UG205301,,UG2053,Mayuge,Mayuge,,,,14,,-0.193,33.59
UG2054,2,District,District,Mbale,Mbale,mbale-ug2054,UG2054,,UG2,Eastern,Eastern,,,2,27,,1.002,34.197
UG205401,3,County,County,Bungokho,Bungokho,bungokho-ug205401,UG205401,,UG2054,Mbale,Mbale,,,,24,,1.002,34.197
UG205402,3,County,County,Mbale Municipality,Mbale Municipality,mbale-municipality-ug205402,UG205402,,UG2054,Mbale,Mbale,,,,3,,1.079,34.173
UG2055,2,District,District,Namayingo,Namayingo,namayingo-ug2055,UG2055,,UG2,Eastern,Eastern,,,1,9,,-0.27,33.814
UG205501,3,County,County,Bukooli,Bukooli,bukooli-ug205501,UG205501,,UG2055,Namayingo,Namayingo,,,,9,,-0.27,33.814
UG2056,2,District,District,Namisindwa,Namisindwa,namisindwa-ug2056,UG2056,,UG2,Eastern,Eastern,,,1,17,,0.864,34.384
UG205601,3,County,County,Bubulo,Bubulo,bubulo-ug205601,UG205601,,UG2056,Namisindwa,Namisindwa,,,,17,,0.864,34.384
UG2057,2,District,District,Namutumba,Namutumba,namutumba-ug2057,UG2057,,UG2,Eastern,Eastern,,,1,10,,0.887,33.666
UG205701,3,County,County,Busiki,Busiki,busiki-ug205701,UG205701,,UG2057,Namutumba,Namutumba,,,,10,,0.887,33.666
UG2058,2,District,District,Ngora,Ngora,ngora-ug2058,UG2058,,UG2,Eastern,Eastern,,,1,5,,1.496,33.774
UG205801,3,County,County,Ngora,Ngora,ngora-ug205801,UG205801,,UG2058,Ngora,Ngora,,,,5,,1.496,33.774
UG2059,2,District,District,Pallisa,Pallisa,pallisa-ug2059,UG2059,,UG2,Eastern,Eastern,,,2,14,,1.217,33.691
UG205901,3,County,County,Butebo,Butebo,butebo-ug205901,UG205901,,UG2059,Pallisa,Pallisa,,,,2,,1.236,33.819
UG205902,3,County,County,Pallisa,Pallisa,pallisa-ug205902,UG205902,,UG2059,Pallisa,Pallisa,,,,12,,1.217,33.624
UG2060,2,District,District,Serere,Serere,serere-ug2060,UG2060,,UG2,Eastern,Eastern,,,2,12,,1.492,33.359
UG206001,3,County,County,Kasilo,Kasilo,kasilo-ug206001,UG206001,,UG2060,Serere,Serere,,,,7,,1.503,33.23
UG206002,3,County,County,Serere,Serere,serere-ug206002,UG206002,,UG2060,Serere,Serere,,,,5,,1.491,33.566
UG2061,2,District,District,Sironko,Sironko,sironko-ug2061,UG2061,,UG2,Eastern,Eastern,,,1,21,,1.188,34.292
UG206101,3,County,County,Budadiri,Budadiri,budadiri-ug206101,UG206101,,UG2061,Sironko,Sironko,,,,21,,1.188,34.292
UG2062,2,District,District,Soroti,Soroti,soroti-ug2062,UG2062,,UG2,Eastern,Eastern,,,2,10,,1.788,33.607
UG206201,3,County,County,Soroti,Soroti,soroti-ug206201,UG206201,,UG2062,Soroti,Soroti,,,,7,,1.788,33.607
UG206202,3,County,County,Soroti Municipality,Soroti Municipality,soroti-municipality-ug206202,UG206202,,UG2062,Soroti,Soroti,,,,3,,1.726,33.621
UG2063,2,District,District,Tororo,Tororo,tororo-ug2063,UG2063,,UG2,Eastern,Eastern,,,3,21,,0.739,34.103
UG206301,3,County,County,Tororo,Tororo,tororo-ug206301,UG206301,,UG2063,Tororo,Tororo,,,,7,,0.742,34.248
UG206302,3,County,County,Tororo Municipality,Tororo Municipality,tororo-municipality-ug206302,UG206302,,UG2063,Tororo,Tororo,,,,2,,0.682,34.18
UG206303,3,County,County,West Budama (Kisolo),West Budama (Kisolo),west-budama-kisolo-ug206303,UG206303,,UG2063,Tororo,Tororo,,,,12,,0.73,34.037
UG3,1,Region,Region,Northern,Northern,northern-ug3,UG3,,,,,,37,48,339,,2.798,32.822
UG3064,2,District,District,Abim,Abim,abim-ug3064,UG3064,,UG3,Northern,Northern,,,1,8,,2.746,33.726
UG306401,3,County,County,Labwor,Labwor,labwor-ug306401,UG306401,,UG3064,Abim,Abim,,,,8,,2.746,33.726
UG3065,2,District,District,Adjumani,Adjumani,adjumani-ug3065,UG3065,,UG3,Northern,Northern,,,1,10,,3.235,31.787
UG306501,3,County,County,East Moyo,East Moyo,east-moyo-ug306501,UG306501,,UG3065,Adjumani,Adjumani,,,,10,,3.235,31.787
UG3066,2,District,District,Agago,Agago,agago-ug3066,UG3066,,UG3,Northern,Northern,,,1,16,,2.945,33.387
UG306601,3,County,County,Agago,Agago,agago-ug306601,UG306601,,UG3066,Agago,Agago,,,,16,,2.945,33.387
UG3067,2,District,District,Alebtong,Alebtong,alebtong-ug3067,UG3067,,UG3,Northern,Northern,,,1,9,,2.266,33.325
UG306701,3,County,County,Moroto,Moroto,moroto-ug306701,UG306701,,UG3067,Alebtong,Alebtong,,,,9,,2.266,33.325
UG3068,2,District,District,Amolatar,Amolatar,amolatar-ug3068,UG3068,,UG3,Northern,Northern,,,1,11,,1.636,32.633
UG306801,3,County,County,Kioga,Kioga,kioga-ug306801,UG306801,,UG3068,Amolatar,Amolatar,,,,11,,1.636,32.633
UG3069,2,District,District,Amudat,Amudat,amudat-ug3069,UG3069,,UG3,Northern,Northern,,,1,4,,1.825,34.93
